sequence_name,frame_number,label,HeightWidthRatio,MajorMinorRatio,BoundingBoxOccupancy,MaxStdXZ,HHmaxRatio,H,D,P40,image_sample
adl-01,006,-1,6.3214,8.223,0.49455,140.7718,0.9572,1761.2471,927.3002,0.026112,./data/adl_imgs/adl-01-cam0-d-006.png
adl-01,008,-1,3.6316,4.5713,0.60584,159.6548,0.77655,1428.844,818.2913,0.075228,./data/adl_imgs/adl-01-cam0-d-008.png
adl-01,009,-1,4.8158,5.5638,0.62698,138.9976,0.93626,1722.725,908.9348,0.08555,./data/adl_imgs/adl-01-cam0-d-009.png
adl-01,010,-1,4.5122,5.1677,0.59209,138.3854,0.93194,1714.7726,944.6872,0.045424,./data/adl_imgs/adl-01-cam0-d-010.png
adl-01,011,-1,4.1333,4.7776,0.60872,140.1724,0.93203,1714.9402,923.3361,0.072031,./data/adl_imgs/adl-01-cam0-d-011.png
adl-01,012,-1,3.74,4.211,0.59947,136.9362,0.92826,1707.9935,922.7464,0.07975,./data/adl_imgs/adl-01-cam0-d-012.png
adl-01,013,-1,3.5472,3.9595,0.59725,144.3553,0.92529,1702.5292,945.2189,0.074273,./data/adl_imgs/adl-01-cam0-d-013.png
adl-01,014,-1,3.2459,3.7098,0.53751,132.6422,0.95005,1748.0908,927.2016,0.093192,./data/adl_imgs/adl-01-cam0-d-014.png
adl-01,015,-1,3.1639,3.2879,0.58617,137.2283,0.95856,1763.7472,923.006,0.082162,./data/adl_imgs/adl-01-cam0-d-015.png
adl-01,016,-1,3.0968,3.1354,0.59971,130.6726,0.9151,1683.7781,939.0041,0.078302,./data/adl_imgs/adl-01-cam0-d-016.png
adl-01,017,-1,3.1746,2.9008,0.60325,137.6827,0.94769,1743.7552,939.4982,0.074727,./data/adl_imgs/adl-01-cam0-d-017.png
adl-01,018,-1,2.8657,2.763,0.62702,141.2475,0.9237,1699.5997,955.8689,0.06422,./data/adl_imgs/adl-01-cam0-d-018.png
adl-01,019,-1,2.8714,2.9433,0.56745,110.5527,0.96429,1774.2947,952.2744,0.07515,./data/adl_imgs/adl-01-cam0-d-019.png
adl-01,020,-1,2.8841,2.9976,0.59865,114.5149,0.93668,1723.4954,966.0255,0.072993,./data/adl_imgs/adl-01-cam0-d-020.png
adl-01,021,-1,2.6486,2.8474,0.57639,116.4855,0.93006,1711.3055,965.9799,0.067105,./data/adl_imgs/adl-01-cam0-d-021.png
adl-01,022,-1,2.4872,2.703,0.56721,112.4179,0.9309,1712.8587,960.6341,0.066643,./data/adl_imgs/adl-01-cam0-d-022.png
adl-01,023,-1,2.1463,2.4948,0.57068,115.1729,0.83843,1542.7121,944.9368,0.064837,./data/adl_imgs/adl-01-cam0-d-023.png
adl-01,024,-1,2.6538,2.7305,0.5397,113.4719,0.9749,1793.822,962.7193,0.069658,./data/adl_imgs/adl-01-cam0-d-024.png
adl-01,025,-1,2.5696,2.7446,0.53052,113.5058,0.94431,1737.5226,964.147,0.070757,./data/adl_imgs/adl-01-cam0-d-025.png
adl-01,026,-1,2.4578,2.6312,0.5329,120.667,0.94474,1738.3184,972.8269,0.067162,./data/adl_imgs/adl-01-cam0-d-026.png
adl-01,027,-1,2.3953,2.6401,0.50254,117.9678,0.94183,1732.9596,961.8297,0.074582,./data/adl_imgs/adl-01-cam0-d-027.png
adl-01,028,-1,2.5432,2.8832,0.52793,110.5166,0.95295,1753.4211,983.7652,0.072312,./data/adl_imgs/adl-01-cam0-d-028.png
adl-01,029,-1,2.4253,2.5599,0.50319,117.1314,0.93709,1724.2505,973.7617,0.071235,./data/adl_imgs/adl-01-cam0-d-029.png
adl-01,030,-1,2.4881,2.6314,0.50553,114.4782,0.9311,1713.2232,976.0946,0.069408,./data/adl_imgs/adl-01-cam0-d-030.png
adl-01,031,-1,1.9882,2.0708,0.56881,121.4664,0.89952,1655.1257,1031.2665,0.0,./data/adl_imgs/adl-01-cam0-d-031.png
adl-01,032,-1,2.3294,2.4821,0.52472,117.4181,0.90027,1656.4963,959.1348,0.06647,./data/adl_imgs/adl-01-cam0-d-032.png
adl-01,033,-1,2.4471,2.5206,0.50911,116.9804,0.93734,1724.7051,982.1141,0.05155,./data/adl_imgs/adl-01-cam0-d-033.png
adl-01,034,-1,2.5,2.6121,0.53039,114.7343,0.93078,1712.632,973.4117,0.069688,./data/adl_imgs/adl-01-cam0-d-034.png
adl-01,035,-1,2.3614,2.4056,0.55791,116.3897,0.87343,1607.1023,957.0727,0.065558,./data/adl_imgs/adl-01-cam0-d-035.png
adl-01,036,-1,1.5854,1.3882,0.33659,129.0161,0.93086,1712.7818,1297.8249,0.0,./data/adl_imgs/adl-01-cam0-d-036.png
adl-01,037,-1,2.5412,2.6747,0.53519,112.1535,0.93645,1723.0717,954.9704,0.067067,./data/adl_imgs/adl-01-cam0-d-037.png
adl-01,038,-1,2.3059,2.4113,0.60306,119.2407,0.86359,1589.0132,948.7257,0.061212,./data/adl_imgs/adl-01-cam0-d-038.png
adl-01,039,-1,2.6071,2.5951,0.5598,116.3004,0.92777,1707.1007,960.9216,0.065838,./data/adl_imgs/adl-01-cam0-d-039.png
adl-01,040,-1,2.5465,2.6222,0.56064,118.3074,0.92409,1700.3183,947.7307,0.069041,./data/adl_imgs/adl-01-cam0-d-040.png
adl-01,041,-1,2.5,2.8195,0.56797,112.2567,0.88676,1631.6367,922.3837,0.082743,./data/adl_imgs/adl-01-cam0-d-041.png
adl-01,042,-1,2.907,2.7864,0.5227,118.7287,0.95047,1748.8719,913.9123,0.10589,./data/adl_imgs/adl-01-cam0-d-042.png
adl-01,043,-1,2.6207,2.7153,0.54446,120.7961,0.84065,1546.7938,890.2388,0.11361,./data/adl_imgs/adl-01-cam0-d-043.png
adl-01,044,-1,2.8889,3.0686,0.48517,116.9099,0.94877,1745.7427,916.7064,0.11874,./data/adl_imgs/adl-01-cam0-d-044.png
adl-01,045,-1,1.8022,2.0096,0.63723,126.7877,0.79377,1460.5446,951.3299,0.0082019,./data/adl_imgs/adl-01-cam0-d-045.png
adl-01,046,-1,2.8085,3.1072,0.47373,120.7943,0.94608,1740.7956,888.9727,0.13627,./data/adl_imgs/adl-01-cam0-d-046.png
adl-01,047,-1,2.4316,2.7881,0.5424,127.4957,0.80728,1485.3976,841.3639,0.1503,./data/adl_imgs/adl-01-cam0-d-047.png
adl-01,048,-1,2.7849,2.9397,0.51389,125.0333,0.89259,1642.3657,872.8109,0.14566,./data/adl_imgs/adl-01-cam0-d-048.png
adl-01,049,-1,2.7766,3.0018,0.50416,123.759,0.88614,1630.4976,851.9631,0.15895,./data/adl_imgs/adl-01-cam0-d-049.png
adl-01,050,-1,2.7872,3.0225,0.52501,126.872,0.88665,1631.4348,871.1753,0.15391,./data/adl_imgs/adl-01-cam0-d-050.png
adl-01,051,-1,2.5106,2.9259,0.55107,127.9306,0.79335,1459.7573,843.6745,0.15558,./data/adl_imgs/adl-01-cam0-d-051.png
adl-01,052,-1,2.8229,3.0841,0.5053,124.4405,0.90475,1664.746,853.9072,0.16271,./data/adl_imgs/adl-01-cam0-d-052.png
adl-01,053,-1,2.9175,3.0123,0.47328,126.0464,0.94625,1741.1033,876.6463,0.15117,./data/adl_imgs/adl-01-cam0-d-053.png
adl-01,054,-1,2.41,2.6812,0.53154,129.7685,0.78035,1435.8503,837.9614,0.1498,./data/adl_imgs/adl-01-cam0-d-054.png
adl-01,055,-1,2.4059,2.6362,0.54745,129.4802,0.78384,1442.2641,827.2271,0.15146,./data/adl_imgs/adl-01-cam0-d-055.png
adl-01,056,-1,2.4554,2.6595,0.54699,127.8574,0.79844,1469.1345,842.6824,0.13284,./data/adl_imgs/adl-01-cam0-d-056.png
adl-01,057,-1,2.0,2.0364,0.47874,134.2162,0.68615,1262.511,697.2535,0.18154,./data/adl_imgs/adl-01-cam0-d-057.png
adl-01,058,-1,2.5192,2.6414,0.54055,128.3771,0.848,1560.3118,875.9484,0.12126,./data/adl_imgs/adl-01-cam0-d-058.png
adl-01,059,-1,2.4444,2.6313,0.51687,128.3254,0.8467,1557.9341,867.7665,0.12594,./data/adl_imgs/adl-01-cam0-d-059.png
adl-01,060,-1,2.3704,2.53,0.53335,129.7182,0.81067,1491.6416,861.4501,0.12017,./data/adl_imgs/adl-01-cam0-d-060.png
adl-01,061,-1,2.2973,2.586,0.51574,125.8806,0.81067,1491.6416,850.0809,0.1257,./data/adl_imgs/adl-01-cam0-d-061.png
adl-01,062,-1,2.2768,2.7959,0.53134,124.7768,0.81833,1505.7265,835.5391,0.15506,./data/adl_imgs/adl-01-cam0-d-062.png
adl-01,063,-1,2.3805,2.9665,0.50262,119.4806,0.85234,1568.2996,834.3487,0.16298,./data/adl_imgs/adl-01-cam0-d-063.png
adl-01,064,-1,3.1463,3.8163,0.62309,91.1953,0.81594,1501.323,798.4989,0.19056,./data/adl_imgs/adl-01-cam0-d-064.png
adl-01,065,-1,2.4159,3.0829,0.49499,115.5818,0.85122,1566.2452,853.8841,0.16346,./data/adl_imgs/adl-01-cam0-d-065.png
adl-01,066,-1,2.9239,3.4885,0.56061,99.0796,0.81201,1494.0902,814.9163,0.18207,./data/adl_imgs/adl-01-cam0-d-066.png
adl-01,067,-1,2.5046,3.4051,0.47357,102.4004,0.81504,1499.6731,816.3056,0.1867,./data/adl_imgs/adl-01-cam0-d-067.png
adl-01,068,-1,2.8081,3.454,0.51777,106.9069,0.82226,1512.9571,827.529,0.17277,./data/adl_imgs/adl-01-cam0-d-068.png
adl-01,069,-1,2.5495,3.0984,0.47375,123.2994,0.82485,1517.7162,852.35,0.16181,./data/adl_imgs/adl-01-cam0-d-069.png
adl-01,070,-1,2.9787,3.7044,0.52686,116.0403,0.80177,1475.2657,813.3987,0.18771,./data/adl_imgs/adl-01-cam0-d-070.png
adl-01,071,-1,3.2529,3.8566,0.5791,122.8102,0.80294,1477.4165,797.4856,0.20171,./data/adl_imgs/adl-01-cam0-d-071.png
adl-01,072,-1,2.7524,3.6143,0.47537,133.9803,0.80785,1486.4453,797.6349,0.19834,./data/adl_imgs/adl-01-cam0-d-072.png
adl-01,073,-1,2.747,3.4664,0.60389,135.8777,0.63541,1169.1629,662.692,0.26339,./data/adl_imgs/adl-01-cam0-d-073.png
adl-01,074,-1,2.6306,3.386,0.47624,143.3443,0.8049,1481.0232,802.3927,0.19837,./data/adl_imgs/adl-01-cam0-d-074.png
adl-01,075,-1,2.3852,3.3018,0.44136,145.3094,0.8092,1488.9191,810.1649,0.19133,./data/adl_imgs/adl-01-cam0-d-075.png
adl-01,076,-1,2.6789,3.3974,0.49318,147.2336,0.79412,1461.1897,795.6237,0.19214,./data/adl_imgs/adl-01-cam0-d-076.png
adl-01,077,-1,2.7,3.5264,0.49718,146.5309,0.81769,1504.5439,802.018,0.18402,./data/adl_imgs/adl-01-cam0-d-077.png
adl-01,078,-1,2.8654,3.5127,0.54124,151.9134,0.8021,1475.861,804.6571,0.17259,./data/adl_imgs/adl-01-cam0-d-078.png
adl-01,079,-1,2.6404,3.4939,0.50003,148.7989,0.80277,1477.0986,794.264,0.17834,./data/adl_imgs/adl-01-cam0-d-079.png
